Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Mackenzie MacEachern,27,STL,LW,14,0,2,2,-1,-0.1,14,112,1,19
Zack MacEwen,25,PHI,C,75,3,6,9,-15,-0.5,82,725,32,159
Ryan MacInnis,25,BUF,C,1,0,0,0,0,0,2,10,0,0
Connor Mackey,25,CGY,D,3,0,1,1,-1,0,4,41,1,4
Nathan MacKinnon,26,COL,C,65,32,56,88,22,9.7,299,1369,39,68
Josh Mahura,23,ANA,D,38,3,4,7,-14,0.6,36,534,51,63
Cale Makar,23,COL,D,77,28,58,86,48,15.3,240,1976,110,95
Beck Malenstyn,23,WSH,LW,12,1,0,1,2,0.1,10,109,7,34
Evgeni Malkin,35,PIT,C,41,20,22,42,-10,4.3,129,752,18,21
Brad Malone,32,EDM,C,8,1,1,2,-2,0.1,7,66,1,22
Jeff Malott,25,WPG,F,1,0,0,0,0,0,0,4,0,3
Mikhail Maltsev,23,COL,LW,18,0,0,0,-5,-0.5,23,145,2,31
Maxim Mamin,27,FLA,C,40,7,7,14,8,1.3,49,476,17,59
Andrew Mangiapane,25,CGY,LW,82,35,20,55,20,7.2,185,1290,32,73
Josh Manson,30,TOT,D,67,6,10,16,-11,2.6,92,1272,70,179
Anthony Mantha,27,WSH,RW,37,9,14,23,4,2.3,82,561,18,46
Brad Marchand,33,BOS,LW,70,32,48,80,16,9.3,242,1347,20,78
Jonathan Marchessault,31,VEG,C,76,30,36,66,3,7.2,251,1335,17,61
Mason Marchment,26,FLA,F,54,18,29,47,29,5.7,121,762,9,114
John Marino,24,PIT,D,81,1,24,25,1,4,90,1672,88,73
Mitch Marner,24,TOR,RW,72,35,62,97,23,10.7,224,1504,31,75
Cooper Marody,25,EDM,C,1,0,1,1,0,0.1,1,6,0,0
Pat Maroon,33,TBL,LW,81,11,16,27,20,2.6,102,1004,11,160
Matt Martin,32,NYI,LW,71,3,4,7,-2,-0.2,66,812,26,235
Alec Martinez,34,VEG,D,26,3,5,8,6,1.9,32,508,68,26
Jordan Martinook,29,CAR,LW,59,6,9,15,1,1,77,661,11,83
Mike Matheson,27,PIT,D,74,11,20,31,12,6.1,140,1391,81,97
Stefan Matteau,27,COL,LW,1,0,0,0,0,0,0,4,0,0
Auston Matthews,24,TOR,C,73,60,46,106,20,13.8,348,1504,62,67
Scott Mayfield,29,NYI,D,61,3,15,18,-5,3.3,80,1206,109,77
Gerald Mayhew,29,TOT,F,40,11,1,12,-6,1.2,53,527,26,58
Dysin Mayo,25,ARI,D,67,4,8,12,-22,1.5,76,1401,133,129
Charlie McAvoy,24,BOS,D,78,10,46,56,31,10.8,166,1922,130,155
Jack McBain,22,ARI,C,10,2,1,3,-6,0,13,142,9,33
Jake McCabe,28,CHI,D,75,4,18,22,-27,2.6,80,1523,167,166
Jared McCann,25,SEA,C,74,27,23,50,-26,4.8,199,1194,29,65
Michael McCarron,26,NSH,RW,51,7,7,14,10,1.5,51,530,31,116
Ben McCartney,20,ARI,F,2,0,0,0,0,0,2,28,0,7
Max McCormick,29,SEA,LW,10,0,0,0,1,-0.1,8,81,3,11
Connor McDavid,25,EDM,C,80,44,79,123,28,14,314,1765,26,75
Ryan McDonagh,32,TBL,D,71,4,22,26,15,5.2,85,1594,137,96
Brock McGinn,27,PIT,LW,64,12,10,22,0,1.6,99,960,50,94
Greg McKegg,29,NYR,C,43,2,3,5,-11,-0.4,25,467,22,50
Marc McLaughlin,22,BOS,F,11,3,0,3,-1,0.4,12,115,2,15
Michael McLeod,23,NJD,C,77,6,14,20,-13,0.4,78,1026,34,145
Ryan McLeod,22,EDM,C,71,9,12,21,-2,1.2,82,906,25,28
Connor McMichael,21,WSH,C,68,9,9,18,-3,1.3,105,712,22,46
Brayden McNabb,31,VEG,D,69,3,15,18,10,3.8,85,1359,179,154
Mason Mctavish,19,ANA,C,9,2,1,3,3,0.4,12,118,6,8
Jaycob Megna,29,SJS,D,44,2,6,8,-1,2.2,40,841,92,71
Jayson Megna,31,COL,C,20,0,3,3,-2,-0.2,19,206,9,27
Timo Meier,25,SJS,RW,77,35,41,76,-3,8.7,326,1475,61,162
Nicolas Meloche,24,SJS,D,50,2,5,7,-17,1,36,844,54,158
Dawson Mercer,20,NJD,C,82,17,25,42,-25,2.6,154,1356,35,26
Nicholas Merkley,24,SJS,RW,9,1,2,3,-2,0.2,7,112,2,9
Ryan Merkley,21,SJS,D,39,1,5,6,-10,0.9,36,600,22,12
Dakota Mermis,28,MIN,D,2,0,0,0,2,0.1,1,28,1,3
Jonathon Merrill,29,MIN,D,69,4,16,20,15,3.4,59,1181,112,46
Victor Mete,23,OTT,D,37,0,7,7,-19,0,27,541,38,13
Carson Meyer,24,CBJ,RW,13,1,2,3,0,0.2,13,107,2,27
Ben Meyers,23,COL,F,5,1,0,1,-2,0,8,50,1,1
Jacob Middleton,26,TOT,D,66,4,10,14,10,3.8,73,1233,124,118
Ilya Mikheyev,27,TOR,F,53,21,11,32,16,4.2,147,809,18,52
Niko Mikkola,25,STL,D,54,3,10,13,-6,1.5,58,917,81,109
Sonny Milano,25,ANA,LW,66,14,20,34,-9,2.9,94,1008,15,27
Colin Miller,29,BUF,D,38,2,12,14,-2,2.2,48,721,42,50
J.T. Miller,28,VAN,C,80,32,67,99,15,10.6,206,1686,56,172
K'Andre Miller,22,NYR,D,82,7,13,20,23,6.4,102,1690,95,151
Daniil Miromanov,24,VEG,D,11,0,1,1,0,0.2,15,108,6,5
Ian Mitchell,23,CHI,D,8,0,1,1,-3,0,2,95,9,2
Casey Mittelstadt,23,BUF,C,40,6,13,19,-14,1,79,645,12,19
Sean Monahan,27,CGY,C,65,8,15,23,-15,0.8,111,914,24,59
Brandon Montour,27,FLA,D,81,11,26,37,15,5.5,153,1450,65,64
John Moore,31,BOS,D,7,0,1,1,2,0.4,7,123,11,9
Trevor Moore,26,LAK,LW,81,17,31,48,20,5.2,202,1271,32,69
Josh Morrissey,26,WPG,D,79,12,25,37,-3,5.9,173,1869,104,150
Janis Moser,21,ARI,D,43,4,11,15,-10,2,40,804,55,32
Tyler Motte,26,TOT,C,58,7,8,15,2,0.9,101,813,58,117
Jacob Moverare,23,LAK,D,19,0,2,2,3,0.7,15,310,21,16
Connor Murphy,28,CHI,D,57,4,6,10,-14,2,71,1240,150,130
Brett Murray,23,BUF,LW,19,2,4,6,-3,0.3,14,247,2,17
Ryan Murray,28,COL,D,37,0,4,4,-3,0.4,26,521,41,32
Jake Muzzin,32,TOR,D,47,3,11,14,-6,1.6,75,974,60,105
Philippe Myers,25,NSH,D,27,1,3,4,5,1.2,28,402,17,50
Tyler Myers,31,VAN,D,82,1,17,18,15,4.8,128,1802,148,145
Vladislav Namestnikov,29,TOT,C,75,16,14,30,2,2.8,91,1099,39,62
Riley Nash,32,TOT,C,49,0,4,4,-5,-0.7,36,560,17,46
James Neal,34,STL,LW,19,2,2,4,-1,0.1,31,227,3,17
Martin Necas,23,CAR,C,78,14,26,40,5,3.3,159,1263,19,55
Jake Neighbours,19,STL,LW,9,1,1,2,-2,0.1,8,84,1,10
Brock Nelson,30,NYI,C,72,37,22,59,-5,7.5,171,1273,43,31
Patrik Nemeth,29,NYR,D,63,2,5,7,-9,1.5,52,1048,102,115
Alex Newhook,21,COL,C,71,13,20,33,11,3,113,963,36,40
Valeri Nichushkin,26,COL,RW,62,25,27,52,21,5.9,180,1180,27,89
Nino Niederreiter,29,CAR,RW,75,24,20,44,29,5.7,144,1113,17,119
Markus Niemeläinen,23,EDM,D,20,0,1,1,-5,-0.1,12,264,19,82
Matthew Nieto,29,SJS,LW,70,6,11,17,-20,0.2,82,1008,47,96
Sami Niku,25,MTL,D,13,0,6,6,3,1,14,199,17,6
Stefan Noesen,28,CAR,RW,2,0,0,0,1,0,4,29,0,5
Mattias Norlinder,21,MTL,D,6,0,1,1,2,0.3,2,74,3,4
Joshua Norris,22,OTT,C,66,35,20,55,-7,6.8,172,1226,44,79
Tomas Nosek,29,BOS,C,75,3,14,17,-9,0.1,84,1001,34,85
Thomas Novak,24,NSH,C,27,1,6,7,-4,0.1,25,318,6,4
Ryan Nugent-Hopkins,28,EDM,C,63,11,39,50,3,3.8,154,1217,34,42
Darnell Nurse,26,EDM,D,71,9,26,35,18,6.6,203,1778,132,196
Markus Nutivaara,27,FLA,D,1,0,1,1,0,0.1,0,7,0,1
William Nylander,25,TOR,C,81,34,46,80,-9,7.8,256,1480,30,19
Gustav Nyquist,32,CBJ,RW,82,18,35,53,-12,3.8,122,1463,51,41
Liam O'Brien,27,ARI,C,39,2,1,3,1,-0.1,36,370,10,139
Drew O'Connor,23,PIT,F,22,3,2,5,-1,0.3,40,226,7,12
Logan O'Connor,25,COL,RW,81,8,16,24,10,1.3,127,1124,59,100
Danny O'Regan,28,ANA,C,5,0,1,1,-1,0,2,50,4,3
Ryan O'Reilly,30,STL,C,78,21,37,58,11,5.2,168,1488,38,20
Jordan Oesterle,29,DET,D,45,2,6,8,-7,1.2,63,823,44,27
Nikita Okhotyuk,21,NJD,D,5,1,1,2,-2,0.2,5,75,1,16
Kyle Okposo,33,BUF,RW,74,21,24,45,-15,4.1,174,1241,19,59
Jamie Oleksiak,29,SEA,D,72,1,16,17,-1,3.2,95,1392,86,182
Mathieu Olivier,24,NSH,F,10,0,1,1,-3,-0.2,5,101,4,23
Victor Olofsson,26,BUF,RW,72,20,29,49,-16,4.5,164,1108,15,10
Dmitry Orlov,30,WSH,D,76,12,23,35,25,7.7,127,1593,94,124
T.J. Oshie,35,WSH,C,44,11,14,25,-12,1.8,77,768,30,86
Alex Ovechkin,36,WSH,LW,77,50,40,90,8,11.4,334,1584,25,156
Brayden Pachal,22,VEG,D,2,0,0,0,-2,-0.1,1,20,1,2
Max Pacioretty,33,VEG,LW,39,19,18,37,8,4.6,148,678,21,30
Jean-Gabriel Pageau,29,NYI,C,77,18,21,39,0,3.7,126,1361,53,171
Ondrej Palat,30,TBL,LW,77,18,31,49,15,4.8,143,1270,42,124
Kyle Palmieri,30,NYI,RW,69,15,18,33,0,3.2,156,1078,18,77
Artemi Panarin,30,NYR,LW,75,22,74,96,21,9.9,177,1441,14,22
Richard Panik,30,NYI,RW,4,0,1,1,-2,-0.1,4,60,2,9
Cedric Paquette,28,MTL,C,24,0,2,2,-6,-0.4,16,213,14,58
Colton Parayko,28,STL,D,80,6,29,35,16,5.9,135,1885,169,72
Zach Parise,37,NYI,LW,82,15,20,35,-2,3.1,138,1253,57,60
David Pastrnak,25,BOS,RW,72,40,37,77,13,9.7,312,1340,14,63
Greg Pateryn,31,ANA,D,10,1,1,2,0,0.5,16,141,7,18
Nolan Patrick,23,VEG,C,25,2,5,7,1,0.4,34,288,3,26
Nick Paul,26,TOT,LW,80,16,16,32,-14,2.2,166,1321,56,106
Joe Pavelski,37,DAL,C,82,27,54,81,11,8.6,216,1515,69,104
Chase Pearson,24,DET,C,3,0,0,0,0,0,2,20,0,4
Tanner Pearson,29,VAN,LW,68,14,20,34,9,3.3,159,1092,41,84
Matthew Peca,28,STL,C,5,0,1,1,-1,0,3,48,1,3
Lane Pederson,24,SJS,F,29,0,2,2,-16,-0.8,24,305,10,54
Andrew Peeke,23,CBJ,D,82,2,13,15,-14,1.7,72,1761,169,191
Adam Pelech,27,NYI,D,78,3,25,28,20,6.7,104,1660,128,99
Cole Perfetti,20,WPG,C,18,2,5,7,1,0.5,21,255,2,17
Brendan Perlini,25,EDM,LW,23,4,1,5,-2,0.4,24,193,3,29
Jacob Perreault,19,ANA,RW,1,0,0,0,-1,-0.1,0,11,1,0
Mathieu Perreault,34,MTL,C,25,4,5,9,2,0.9,27,281,11,35
David Perron,33,STL,LW,67,27,30,57,8,6.2,177,1138,11,80
Corey Perry,36,TBL,RW,82,19,21,40,9,4.1,153,1109,28,73
Scott Perunovich,23,STL,D,19,0,6,6,2,0.9,14,294,12,5
Brett Pesce,27,CAR,D,70,7,21,28,5,5.3,148,1519,99,39
Nic Petan,26,VAN,C,18,0,2,2,-2,-0.2,21,185,3,6
John-Jason Peterka,20,BUF,RW,2,0,0,0,0,0,3,32,2,1
Jacob Peterson,22,DAL,C,65,12,5,17,-1,1.7,85,719,23,22
Jeff Petry,34,MTL,D,68,6,21,27,-11,3.6,124,1504,117,140
Elias Pettersson,23,VAN,C,80,32,36,68,1,7.4,192,1488,43,49
Marcus Pettersson,25,PIT,D,72,2,17,19,8,3.6,83,1127,74,122
Michael Pezzetta,23,MTL,C,51,5,6,11,-7,0.7,49,400,8,156
Isaak Phillips,20,CHI,D,4,0,0,0,-1,0,4,49,1,3
Alex Pietrangelo,32,VEG,D,80,13,31,44,7,7.5,227,1972,164,66
Garrett Pilon,23,WSH,C,2,1,0,1,1,0.2,1,19,0,2
Shane Pinto,21,OTT,C,5,0,1,1,0,0,5,65,1,0
Neal Pionk,26,WPG,D,77,3,31,34,5,5.2,140,1628,91,185
Rem Pitlick,24,TOT,C,66,15,22,37,-8,3.1,65,989,28,25
Tyler Pitlick,30,TOT,C,39,1,4,5,-11,-0.6,36,427,26,70
Vasily Podkolzin,20,VAN,RW,79,14,12,26,7,2.5,115,1011,33,84
Ryan Poehling,23,MTL,C,57,9,8,17,-21,0.6,91,695,28,40
Austin Poganski,25,WPG,RW,16,0,0,0,-3,-0.4,9,149,5,23
Brayden Point,25,TBL,C,66,28,30,58,-5,5.8,176,1284,27,75
Tucker Poolman,28,VAN,D,40,1,2,3,2,1.2,47,680,73,33
Andrew Poturalski,28,CAR,C,2,0,2,2,-1,0.1,4,20,1,0
Derrick Pouliot,28,TOT,D,11,0,4,4,6,1,8,171,14,10
Owen Power,19,BUF,D,8,2,1,3,3,0.9,10,177,9,1
Chase Priskie,25,FLA,D,4,0,0,0,2,0.1,4,56,3,3
Aliaksei Protas,21,WSH,C,33,3,6,9,4,0.7,34,391,12,20
Ivan Provorov,25,PHI,D,79,9,22,31,-20,4.4,170,1966,172,74
Ethan Prow,29,BUF,D,4,1,0,1,-1,0.2,2,51,3,2
Jesse Puljujarvi,23,EDM,RW,65,14,22,36,22,3.7,160,1055,15,81
Ryan Pulock,27,NYI,D,56,5,16,21,0,4.1,122,1184,130,86
Valtteri Puustinen,22,PIT,RW,1,0,1,1,2,0.2,1,10,0,1
Mark Pysyk,30,BUF,D,68,3,9,12,-4,2.6,64,1212,85,41
Jack Quinn,20,BUF,RW,2,1,1,2,0,0.3,6,30,1,0
Darren Raddysh,25,TBL,D,4,0,0,0,1,0.1,2,43,6,4
Taylor Raddysh,23,TOT,RW,74,11,11,22,1,1.7,104,913,21,103
Alexander Radulov,35,DAL,RW,71,4,18,22,-20,0.3,92,1001,48,43
Michael Raffl,33,DAL,LW,76,7,9,16,-19,-0.1,94,1105,34,141
Rickard Rakell,28,TOT,RW,70,20,21,41,0,4,184,1259,44,99
Sampo Ranta,21,COL,LW,10,0,0,0,-4,-0.4,9,109,6,9
Mikko Rantanen,25,COL,RW,75,36,56,92,35,10.5,254,1574,43,58
Victor Rask,28,TOT,C,47,9,12,21,4,2,58,573,5,15
Adam Raska,20,SJS,RW,5,0,0,0,1,0,2,40,0,15
Michael Rasmussen,22,DET,C,80,15,12,27,-25,1.3,128,1161,65,142
Isaac Ratcliffe,22,PHI,LW,10,1,3,4,-1,0.3,14,107,8,16
Jack Rathbone,22,VAN,D,9,0,0,0,-5,-0.2,10,124,8,5
Kyle Rau,29,MIN,C,5,0,0,0,-3,-0.2,3,44,0,6
Lucas Raymond,19,DET,LW,82,23,34,57,-32,4.2,184,1489,24,62
Ryan Reaves,35,NYR,RW,69,5,8,13,-13,0.1,44,735,16,279
Scott Reedy,22,SJS,C,35,7,2,9,-8,0.8,33,392,26,14
Alec Regula,21,CHI,D,15,1,0,1,-1,0.5,18,268,21,21
Kristian Reichel,23,WPG,F,13,1,1,2,-2,0,18,135,10,14
Lukas Reichel,19,CHI,LW,11,0,1,1,-8,-0.4,15,145,3,0
Mike Reilly,28,BOS,D,70,4,13,17,-1,3.4,135,1327,54,94
Cole Reinhardt,21,OTT,LW,1,0,0,0,0,0,1,9,0,2
Sam Reinhart,26,FLA,C,78,33,49,82,25,9,186,1385,30,49
Sheldon Rempal,26,VAN,RW,1,0,0,0,-1,-0.1,2,9,0,0
Dan Renouf,27,DET,D,4,0,0,0,-2,-0.1,3,56,2,4
Brad Richardson,36,TOT,C,44,4,4,8,-1,0.4,31,453,20,59
Morgan Rielly,27,TOR,D,82,10,58,68,16,9.4,221,1947,87,92
Juuso Riikola,28,PIT,D,5,0,1,1,2,0.3,7,67,2,13
Rasmus Ristolainen,27,PHI,D,66,2,14,16,-9,2.5,97,1415,125,230
Brett Ritchie,28,CGY,RW,41,3,1,4,-6,-0.3,55,399,5,78
Nick Ritchie,26,TOT,LW,57,12,11,23,-13,1.6,93,724,22,153
Jason Robertson,22,DAL,LW,74,41,38,79,16,10.1,220,1340,24,50
Nicholas Robertson,20,TOR,LW,10,1,0,1,-4,-0.1,14,103,2,10
Buddy Robinson,30,ANA,RW,32,1,5,6,2,0.3,38,296,12,56
Eric Robinson,26,CBJ,LW,67,10,17,27,-1,1.9,104,931,20,95
Evan Rodrigues,28,PIT,C,82,19,24,43,3,3.9,243,1299,30,89
Alexander Romanov,22,MTL,D,79,3,10,13,-9,2.1,107,1611,144,227
Kevin Rooney,28,NYR,C,61,6,6,12,-1,0.4,71,845,47,84
Calle Rosen,27,STL,D,18,2,5,7,-2,0.8,18,258,16,6
Jack Roslovic,25,CBJ,C,81,22,23,45,2,4.5,131,1157,25,60
Marco Rossi,20,MIN,C,2,0,0,0,-1,-0.1,5,31,1,1
Antoine Roussel,32,ARI,LW,53,4,4,8,-16,-0.5,59,644,34,74
Carter Rowney,32,DET,RW,26,4,2,6,-4,0.4,15,277,20,36
Matt Roy,26,LAK,D,67,2,19,21,23,5.4,153,1406,103,124
Nicolas Roy,24,VEG,C,78,15,24,39,12,3.5,145,1268,34,85
Kristians Rubins,24,TOR,D,3,0,0,0,-2,-0.1,5,35,2,12
Chad Ruhwedel,31,PIT,D,78,4,9,13,2,2.8,82,1196,86,149
Arttu Ruotsalainen,24,BUF,F,18,2,2,4,-1,0.2,23,214,6,14
Kris Russell,34,EDM,D,31,2,7,9,7,1.9,34,479,68,33
Bryan Rust,29,PIT,RW,60,24,34,58,7,6.2,180,1126,24,43
Jan Rutta,31,TBL,D,76,3,15,18,25,4.8,86,1245,71,93
Adam Ruzicka,22,CGY,C,28,5,5,10,8,1.2,33,286,8,24
Derek Ryan,35,EDM,C,75,10,12,22,-4,1.4,72,857,38,38
Jonas Røndbjerg,22,VEG,RW,30,2,4,6,0,0.3,30,300,11,13
Brandon Saad,29,STL,LW,78,24,25,49,11,5,158,1269,20,20
Scott Sabourin,29,OTT,F,7,0,2,2,-2,0,4,53,4,14
Robin Salo,23,NYI,D,21,1,4,5,-6,0.6,24,351,23,7
Dylan Samberg,23,WPG,D,15,0,5,5,3,0.9,14,223,19,21
Dmitri Samorukov,22,EDM,D,1,0,0,0,-2,-0.1,0,2,0,0
Mattias Samuelsson,21,BUF,D,42,0,10,10,-10,1.2,44,840,60,100
Linus Sandin,25,PHI,F,1,0,0,0,0,0,1,7,2,0
Rasmus Sandin,21,TOR,D,51,5,11,16,9,3,46,865,39,88
Zach Sanford,27,TOT,LW,80,9,12,21,-15,0.7,104,1144,67,169
Travis Sanheim,25,PHI,D,80,7,24,31,9,6.2,123,1838,142,64
David Savard,31,MTL,D,62,3,14,17,-22,1.3,66,1289,127,134
Marco Scandella,31,STL,D,70,3,11,14,17,3.4,76,1270,70,106
Colton Sceviour,32,EDM,C,35,2,3,5,-6,-0.1,38,332,20,41
Mark Scheifele,28,WPG,C,67,29,41,70,-17,6.6,159,1416,47,36
Brayden Schenn,30,STL,C,62,24,34,58,21,6.5,111,1103,17,119
Luke Schenn,32,VAN,D,66,5,12,17,15,4.4,78,1136,96,273
Nick Schmaltz,25,ARI,C,63,23,36,59,1,6.1,123,1150,28,15
Nate Schmidt,30,WPG,D,77,4,28,32,-4,4.4,117,1556,104,37
Braden Schneider,20,NYR,D,43,2,9,11,5,2.5,25,665,52,60
Corey Schueneman,26,MTL,D,24,2,4,6,-5,0.7,30,398,40,15
Justin Schultz,31,WSH,D,74,4,19,23,-15,2.5,92,1252,87,40
Jaden Schwartz,29,SEA,C,37,8,15,23,-13,1.5,101,683,13,42
Cole Schwindt,20,FLA,RW,3,0,0,0,-4,-0.2,3,42,2,5
Nick Seeler,28,PHI,D,43,1,2,3,-3,0.7,32,562,67,75
Tyler Seguin,30,DAL,C,81,24,25,49,-21,4.2,218,1443,33,96
Moritz Seider,20,DET,D,82,7,43,50,-9,6.7,187,1889,161,151
Andrej Sekera,35,DAL,D,32,1,3,4,-3,0.9,26,439,25,15
Kirill Semyonov,27,TOR,C,3,0,0,0,-2,-0.1,1,30,0,4
Brett Seney,25,TOR,LW,2,0,0,0,0,0,1,14,2,3
Zachary Senyshyn,24,OTT,RW,2,0,0,0,-1,-0.1,0,13,0,4
Mikhail Sergachev,23,TBL,D,78,7,31,38,6,6.1,149,1753,123,139
Damon Severson,27,NJD,D,80,11,35,46,-14,6.3,158,1888,92,91
Michael Sgarbossa,29,WSH,C,10,2,2,4,3,0.5,11,99,2,7
Yegor Sharangovich,23,NJD,C,76,24,22,46,-14,4.2,168,1255,26,30
Kevin Shattenkirk,33,ANA,D,82,8,27,35,-9,5.7,163,1756,135,73
Logan Shaw,30,OTT,RW,17,1,2,3,-3,0.1,17,159,5,11
Mason Shaw,23,MIN,C,3,0,0,0,-2,-0.1,7,27,1,6
Riley Sheahan,30,SEA,C,69,4,13,17,6,1.1,69,831,28,16
Conor Sheary,29,WSH,LW,71,19,24,43,-2,4.2,129,1085,44,45
Kiefer Sherwood,26,COL,RW,11,1,1,2,3,0.2,9,94,4,12
Kole Sherwood,25,NSH,RW,1,0,0,0,0,0,2,8,0,3
Devin Shore,27,EDM,C,49,5,6,11,-4,0.6,36,469,21,67
Jonas Siegenthaler,24,NJD,D,70,1,13,14,-5,2.4,92,1439,106,98
Dylan Sikura,26,COL,C,5,0,1,1,0,0,3,50,3,0
Jakob Silfverberg,31,ANA,LW,53,5,16,21,-3,1.1,120,903,40,16
Cole Sillinger,18,CBJ,C,79,16,15,31,-22,1.8,148,1082,43,98
Radim Simek,29,SJS,D,36,1,1,2,-13,0.1,25,478,39,96
Wayne Simmonds,33,TOR,RW,72,5,11,16,-7,0.5,79,672,11,148
Dominik Simon,27,TOT,C,72,3,10,13,0,0.3,88,741,38,72
Colton Sissons,28,NSH,C,79,7,21,28,2,1.3,87,1277,44,188
Jeff Skinner,29,BUF,LW,80,33,30,63,-14,6.9,262,1368,20,29
Brady Skjei,27,CAR,D,82,9,30,39,22,8,184,1734,73,95
Jaccob Slavin,27,CAR,D,79,4,38,42,35,8.9,165,1859,121,50
Josiah Slavin,23,CHI,LW,15,0,1,1,0,-0.2,13,180,4,12
Brendan Smith,32,CAR,D,45,4,4,8,6,2.2,63,626,40,73
C.J. Smith,27,CAR,LW,1,0,0,0,-1,-0.1,0,9,0,1
Cole Smith,26,NSH,F,8,0,0,0,-3,-0.2,3,71,1,21
Craig Smith,32,BOS,C,74,16,20,36,2,3.4,187,1067,28,95
Gemel Smith,27,DET,C,3,0,1,1,-2,0,1,20,1,0
Givani Smith,23,DET,RW,46,4,3,7,-6,0.2,50,390,20,86
Nathan Smith,23,ARI,C,10,2,2,4,-1,0.3,14,142,6,26
Reilly Smith,30,VEG,RW,56,16,22,38,4,3.7,150,996,23,55
Ty Smith,21,NJD,D,66,5,15,20,-26,1.6,77,1155,73,45
Joe Snively,26,WSH,F,12,4,3,7,3,1,21,139,3,2
Victor Soderstrom,20,ARI,D,16,0,0,0,-7,-0.2,14,261,23,14
Egor Sokolov,21,OTT,F,8,0,0,0,-6,-0.3,8,83,4,13
Carson Soucy,27,SEA,D,64,10,11,21,7,4.7,97,1130,73,118
Blake Speers,25,ARI,C,2,0,0,0,-3,-0.1,1,18,2,3
Jordan Spence,20,LAK,D,24,2,6,8,0,1.5,41,474,29,32
Jason Spezza,38,TOR,C,71,12,13,25,-3,2,97,763,24,31
Daniel Sprong,24,TOT,RW,63,14,6,20,0,2,153,818,12,43
Jared Spurgeon,32,MIN,D,65,10,30,40,32,7.2,116,1375,83,44
Jordan Staal,33,CAR,C,78,17,19,36,11,3.3,146,1297,29,212
Marc Staal,35,DET,D,71,3,13,16,-1,3,76,1237,75,94
Steven Stamkos,31,TBL,C,81,42,64,106,24,12.5,241,1497,31,93
Logan Stanley,23,WPG,D,58,1,12,13,1,2.1,80,907,100,131
Paul Stastny,36,WPG,C,71,21,24,45,14,4.8,141,1263,27,27
Troy Stecher,27,TOT,D,29,1,2,3,-7,0.4,50,483,38,33
Sam Steel,23,ANA,C,68,6,14,20,-17,0.7,66,837,27,37
Oskar Steen,23,BOS,C,20,2,4,6,-1,0.4,25,221,8,32
Alex Steeves,22,TOR,F,3,0,1,1,-1,0,2,24,1,1
Kevin Stenlund,25,CBJ,C,3,0,0,0,0,0,3,23,2,2
Derek Stepan,31,CAR,C,58,9,10,19,0,1.6,96,626,25,29
Mitchell Stephens,24,DET,C,27,0,6,6,-8,-0.2,17,302,9,21
Chandler Stephenson,27,VEG,C,79,21,43,64,5,5.9,125,1526,44,68
Riley Stillman,23,CHI,D,52,2,10,12,-8,1.8,49,783,67,122
Mark Stone,29,VEG,RW,37,9,21,30,7,2.9,71,679,24,19
Michael Stone,31,CGY,D,11,2,4,6,3,1.1,24,192,17,26
Anton Stralman,35,ARI,D,74,8,15,23,-16,3.6,95,1579,100,99
Austin Strand,24,LAK,D,8,0,2,2,-1,0.3,9,122,5,7
Dylan Strome,24,CHI,C,69,22,26,48,-6,4.7,126,1203,33,11
Ryan Strome,28,NYR,C,74,21,33,54,15,5.7,161,1356,19,41
Marian Studenic,23,TOT,RW,33,2,2,4,-7,-0.2,42,368,15,25
Jack Studnicka,22,BOS,C,15,0,3,3,-5,-0.2,21,189,5,17
Nico Sturm,26,TOT,C,74,9,11,20,-7,0.7,101,881,29,99
Tim Stützle,20,OTT,LW,79,22,36,58,-27,4.8,176,1455,52,125
P.K. Subban,32,NJD,D,77,5,17,22,-8,3.4,114,1409,90,69
C.J. Suess,27,WPG,LW,3,0,0,0,0,0,0,17,5,2
Oskar Sundqvist,27,TOT,C,59,8,15,23,5,1.7,70,826,29,70
Andrej Sustr,31,TOT,D,38,1,5,6,-4,1,28,559,36,27
Pius Suter,25,DET,F,82,15,21,36,-11,2.3,166,1388,37,24
Ryan Suter,37,DAL,D,82,7,25,32,1,6.6,118,1940,88,46
Nick Suzuki,22,MTL,C,82,21,40,61,-29,4.2,186,1682,62,89
Andrei Svechnikov,21,CAR,RW,78,30,39,69,19,7.9,249,1346,15,189
Evgeny Svechnikov,25,WPG,LW,72,7,12,19,-4,1.1,78,774,22,104
Brandon Tanev,30,SEA,LW,30,9,6,15,4,1.8,51,437,22,98
Chris Tanev,32,CGY,D,82,6,22,28,35,6.9,88,1678,158,52
Vladimir Tarasenko,30,STL,RW,75,34,48,82,7,8.9,230,1268,45,83
Tomas Tatar,31,NJD,LW,76,15,15,30,-22,1.7,132,1127,28,75
John Tavares,31,TOR,C,79,27,49,76,-8,6.9,237,1428,44,90
Matt Tennyson,31,NSH,D,8,0,3,3,0,0.4,5,103,4,12
Teuvo Teravainen,27,CAR,F,77,22,43,65,22,6.9,202,1363,30,15
Troy Terry,24,ANA,C,75,37,30,67,-11,7.7,192,1368,27,6
Alexandre Texier,22,CBJ,C,36,11,9,20,0,2.1,59,526,12,13
Shea Theodore,26,VEG,D,78,14,38,52,6,8.2,205,1804,97,37
Robert Thomas,22,STL,C,72,20,57,77,17,7.3,115,1352,25,13
