Player,Age,Team,Pos,GP,G,A,PTS,PlusMin,PS,S,TOI,BLK,HIT
Claude Giroux,34,TOT,C,75,21,44,65,-5,5.9,205,1430,16,68
Cody Glass,22,NSH,C,8,0,1,1,0,-0.1,9,91,4,13
Luke Glendening,32,DAL,C,82,9,7,16,-17,0.1,116,1157,59,179
Alex Goligoski,36,MIN,D,72,2,28,30,41,6.1,80,1363,96,56
Barclay Goodrow,28,NYR,RW,79,13,20,33,13,2.9,116,1320,54,130
Shayne Gostisbehere,28,ARI,D,82,14,37,51,-23,6.6,151,1820,115,60
Yanni Gourde,30,SEA,C,74,21,27,48,-13,4.2,127,1368,31,77
Mikael Granlund,29,NSH,C,80,11,53,64,-9,4.1,117,1633,45,92
Derek Grant,31,ANA,C,71,15,14,29,-16,2.2,117,1016,49,69
Ryan Graves,26,NJD,D,75,6,22,28,-9,4.1,111,1554,135,90
Anthony Greco,28,NYR,RW,1,0,0,0,0,0,5,10,1,1
Andy Greene,39,NYI,D,69,2,8,10,-13,1.8,52,1201,126,39
Jordan Greenway,24,MIN,LW,62,10,17,27,26,2.6,110,903,31,155
A.J. Greer,25,NJD,LW,9,1,1,2,0,0.2,14,71,3,20
Noah Gregor,23,SJS,C,63,8,15,23,-21,1,156,941,49,118
Seth Griffith,29,EDM,C,1,0,0,0,1,0,0,6,0,1
Rocco Grimaldi,28,NSH,C,7,0,0,0,0,-0.1,8,77,0,5
Jordan Gross,26,COL,D,1,0,0,0,0,0,0,8,0,1
Benoit-Olivier Groulx,21,ANA,C,18,1,2,3,0,0.1,17,198,6,19
Carl Grundstrom,24,LAK,RW,54,9,6,15,4,1.6,83,588,19,134
Matt Grzelcyk,28,BOS,D,73,4,20,24,22,5.8,118,1367,83,40
Radko Gudas,31,FLA,D,77,3,13,16,27,3.6,100,1387,118,355
Erik Gudbranson,30,CGY,D,78,6,11,17,15,4.2,129,1415,92,145
Jake Guentzel,27,PIT,C,76,40,44,84,13,9.7,264,1527,38,72
Brendan Guhle,24,ANA,D,6,0,0,0,0,0.1,6,88,4,11
Denis Gurianov,24,DAL,RW,73,11,20,31,2,2.6,144,1036,32,67
David Gustafsson,21,WPG,C,2,0,0,0,0,0,0,5,0,0
Erik Gustafsson,29,CHI,D,59,3,15,18,-4,3,79,957,55,45
Brandon Hagel,23,TOT,LW,77,25,19,44,-18,4,125,1259,32,63
Carl Hagelin,33,WSH,LW,53,3,11,14,10,0.8,71,755,12,32
Robert Hagg,26,TOT,D,64,1,8,9,-9,1.2,59,1025,102,138
Nicolas Hague,23,VEG,D,52,4,10,14,6,2.9,116,970,80,57
Libor Hajek,23,NYR,D,17,0,1,1,-10,-0.3,12,223,26,7
Jani Hakanpaa,29,DAL,D,80,4,8,12,1,3.5,68,1297,112,248
Jayden Halbgewachs,24,SJS,F,3,0,1,1,1,0.1,7,39,0,3
Taylor Hall,30,BOS,LW,81,20,41,61,11,6.2,217,1329,36,55
